pcode,gis_name,loc_type,lon,lat
SDNp003704,Khashm El Girba,Field Office,35.9066,14.9746
SDNp000540,Damazin,Field Office,34.348,11.794
SDNp010027,Kosti,Sub-Office,32.6686,13.1478
SDNp000545,El Fasher,Sub-Office,25.3309,13.632
SDNp000568,Zalingei,Field Office,23.4895,12.9056
SDNp000328,Port Sudan,Country Office,37.216,19.617
SDNp000546,Nyala,Field Office,24.8904,12.0558
SDNp000427,Kassala,Sub-Office,36.408,15.47
SDNp010023,Abyei,Field Unit,28.437,9.594
SDNp000326,Gedaref,Sub-Office,35.383,14.0364
SDNp008984,Ed Daein,Field Office,26.129,11.465
SDNp030014,El Fula,Field Office,28.3294,11.7192
SDNp030015,Abu Jubeiha,Field Unit,31.2303,11.4544
SDNp008985,El Obeid,Field Unit,30.245,13.1676
SDNp030016,Um Rakuba,Field Unit,35.6681,13.4875
SDNp030017,Jabalain,Field Unit,32.8084,12.5938
SDNp030019,Gedaref (CO),Country Office,35.383,14.0364
SDNp010024,Kadugli,Sub-Office,29.7294,11.0142
SDNp030018,Wadi Halfa,Field Office,31.36,21.803
SDNp000330,Um Gargour,Field Unit,35.6265,14.5028
SDNp000332,Babikri,Field Unit,35.7629,13.0104
SDNp000331,Tunaydbah,Field Unit,34.4011,13.7544
